age,gender,region,monthly_income,employment_status,work_experience,loan_amount,loan_term,interest_rate,current_debt,debt_to_income,number_of_loans,overdue_count,max_days_overdue,loan_purpose,target,monthly_payment_approx,payment_to_income,credit_burden_index,has_overdue_history,is_high_interest
36,M,Zhambyl,79343.46,retired,9,223254.35,31,23.32,26821.39,0.338,0,2,0,consumer,0,9655.24,0.1217,1.3228,1,1
43,M,Turkistan,81941.59,student,21,759624.34,72,25.08,208413.38,2.5434,4,0,2,consumer,0,20499.44,0.2502,5.788,0,1
36,F,Aktobe,1206169.16,employed,12,4993505.94,28,44.21,3704833.73,3.0716,0,1,0,consumer,0,288860.44,0.2395,4.5206,1,1
55,M,Almaty,218453.28,employed,30,2611631.1,64,16.14,1166345.14,5.3391,1,0,0,consumer,0,61116.73,0.2798,9.5233,0,0
38,F,Shymkent,354217.98,employed,12,1917810.91,29,14.79,944532.94,2.6665,0,0,0,consumer,0,79054.89,0.2232,4.5615,0,0
29,F,Kostanay,76763.22,self_employed,6,825463.61,55,16.36,291590.17,3.7985,3,0,2,consumer,0,21429.5,0.2792,7.5621,0,0
35,M,East Kazakhstan,743562.55,unemployed,12,3616565.23,17,16.16,2487934.86,3.346,0,1,0,consumer,0,239442.07,0.322,5.0483,1,0
35,M,Turkistan,117496.87,self_employed,11,1112506.61,56,40.84,832350.94,7.084,1,0,0,consumer,0,44727.27,0.3807,10.3979,0,1
26,F,Turkistan,2068506.7,employed,0,9481439.08,13,24.6,1144891.17,0.5535,0,1,1,consumer,0,838244.71,0.4052,2.1578,1,1
56,F,Karaganda,234019.74,unemployed,32,2034691.21,63,28.19,1731862.84,7.4005,5,0,0,consumer,0,62202.79,0.2658,10.4435,0,1
32,F,Karaganda,82754.81,student,7,478236.8,65,39.47,65615.5,0.7929,2,12,299,consumer,0,17916.18,0.2165,2.8155,1,1
47,F,East Kazakhstan,217791.79,employed,23,1912547.78,69,30.92,1413596.23,6.4906,0,2,0,consumer,0,59577.43,0.2736,9.5641,1,1
24,M,Almaty Region,125568.44,unemployed,0,1633899.84,59,18.22,975172.03,7.766,3,0,0,consumer,0,42121.22,0.3354,12.3202,0,1
39,M,North Kazakhstan,165342.13,employed,9,3404116.26,69,19.14,2183585.11,13.2064,2,0,1,consumer,0,81720.09,0.4942,20.4123,0,1
23,F,Zhambyl,100725.71,employed,0,828061.94,25,13.49,228203.8,2.2656,0,0,1,consumer,0,38179.22,0.379,5.1429,0,0
58,F,Atyrau,80434.98,student,36,411557.5,15,37.76,131340.58,1.6329,3,0,1,consumer,1,34841.52,0.4332,3.4237,0,1
47,M,Almaty,125959.38,employed,22,493075.38,12,23.26,246233.39,1.9548,3,1,2,consumer,0,46448.61,0.3688,3.3249,1,1
50,M,North Kazakhstan,515572.72,retired,23,2770271.82,31,38.19,2189048.54,4.2458,2,2,1,auto,0,141885.83,0.2752,6.1265,1,1
28,M,Zhambyl,146367.43,employed,3,1074858.12,71,31.38,269865.88,1.8437,1,2,0,consumer,0,33460.03,0.2286,4.414,1,1
31,M,Kostanay,79861.48,employed,2,408988.21,62,22.83,244194.44,3.0577,1,0,1,consumer,0,11290.59,0.1414,4.8501,0,1
20,F,Shymkent,191131.93,employed,2,1314334.04,22,17.99,1160195.84,6.0701,2,0,0,auto,0,70577.78,0.3693,8.4769,0,0
40,F,Kostanay,104611.91,employed,13,1134372.81,60,32.22,880530.0,8.417,0,0,0,consumer,0,38262.56,0.3658,12.2123,0,1
43,F,Almaty,83454.2,employed,14,873047.89,59,22.05,485611.68,5.8188,3,1,2,consumer,0,24363.36,0.2919,9.4803,1,1
40,M,Atyrau,271637.38,employed,13,1564160.24,29,22.54,806380.81,2.9686,1,2,0,consumer,0,70446.53,0.2593,4.984,1,1
21,M,Almaty,120623.63,employed,2,1389270.7,36,16.94,703787.93,5.8345,3,1,0,consumer,1,49489.81,0.4103,9.8656,1,0
28,M,Almaty,162784.75,self_employed,4,973890.28,49,50.38,565134.76,3.4716,3,0,1,consumer,0,47175.54,0.2898,5.5656,0,1
37,M,Zhambyl,83022.98,student,9,435086.47,31,32.76,258659.82,3.1155,2,0,0,consumer,0,20981.71,0.2527,4.9497,0,1
33,F,Akmola,79140.73,employed,8,662909.11,48,14.59,283914.58,3.5874,0,0,0,consumer,0,18311.78,0.2314,6.5191,0,0
44,F,Zhambyl,527408.1,employed,14,4207112.45,42,12.17,3575485.04,6.7793,0,0,1,auto,0,123512.38,0.2342,9.5713,0,0
42,F,Almaty,105543.92,retired,19,404276.65,16,39.31,161946.69,1.5344,2,0,0,consumer,0,32867.3,0.3114,2.875,0,1
39,M,Karaganda,195130.17,retired,17,1272667.41,45,35.06,134343.99,0.6885,3,0,1,consumer,0,51191.63,0.2623,2.9712,0,1
40,F,Shymkent,97638.33,employed,13,574635.08,36,21.24,232638.33,2.3826,0,12,277,consumer,1,21720.29,0.2225,4.4425,1,1
40,M,Karaganda,76304.12,retired,17,151185.97,38,33.72,117885.79,1.5449,2,1,0,consumer,0,6524.48,0.0855,2.2384,1,1
31,F,Shymkent,171609.49,employed,8,1266359.03,30,8.79,369280.21,2.1519,3,1,2,consumer,0,47173.53,0.2749,4.7346,1,0
20,F,Kyzylorda,227905.25,employed,0,1405050.14,32,33.61,776209.76,3.4058,2,0,0,consumer,0,67058.2,0.2942,5.5636,0,1
53,F,Nur-Sultan,349789.36,retired,26,4256950.91,52,30.27,4058474.88,11.6026,3,1,1,auto,0,147863.78,0.4227,15.8621,1,1
37,F,Karaganda,90213.66,employed,18,897196.39,44,46.82,739779.08,8.2002,0,2,2,consumer,0,42984.02,0.4765,11.681,1,1
49,M,Turkistan,98575.03,employed,22,1148684.7,29,20.4,222540.33,2.2576,0,0,0,consumer,0,50501.74,0.5123,6.336,0,1
36,M,Karaganda,1871735.1,employed,11,6330155.07,16,14.07,2669316.11,1.4261,1,2,2,consumer,0,436213.03,0.2331,2.6098,1,0
50,M,Kyzylorda,84105.84,retired,26,52040.62,58,38.05,18542.57,0.2205,1,0,2,consumer,0,1972.81,0.0235,0.437,0,1
36,M,Turkistan,82299.51,employed,12,463116.41,53,23.63,268892.87,3.2672,2,12,312,consumer,0,14155.36,0.172,5.2367,1,1
80,M,Mangystau,370219.83,self_employed,44,2329584.14,30,15.37,1978475.42,5.344,3,0,1,consumer,0,94015.17,0.2539,7.5464,0,0
52,F,Almaty,1443581.9,employed,25,4749261.89,20,42.08,3732605.75,2.5857,3,0,0,consumer,0,334364.79,0.2316,3.7371,0,1
31,F,Nur-Sultan,515967.13,employed,6,5257580.39,61,15.58,4492332.92,8.7066,2,2,0,auto,0,125309.22,0.2429,12.273,1,0
32,F,Nur-Sultan,360316.07,unemployed,11,3439485.74,58,15.14,724585.31,2.011,2,0,0,consumer,0,83979.01,0.2331,5.352,0,0
22,M,East Kazakhstan,556598.26,employed,0,4571247.41,33,22.7,3815155.54,6.8544,2,0,0,auto,0,187493.35,0.3369,9.7289,0,1
40,F,Karaganda,118066.85,employed,16,2602282.08,60,12.13,369369.97,3.1285,1,0,0,consumer,0,58057.43,0.4917,10.8427,0,0
27,F,Almaty,228196.28,employed,5,1289786.47,45,29.57,164956.12,0.7229,3,2,0,consumer,0,47749.76,0.2092,2.7011,1,1
41,F,Nur-Sultan,77980.67,employed,16,353217.0,42,38.14,90848.46,1.165,1,12,351,consumer,0,15351.51,0.1969,2.7503,1,1
