age,gender,region,monthly_income,employment_status,work_experience,loan_amount,loan_term,interest_rate,current_debt,debt_to_income,number_of_loans,overdue_count,max_days_overdue,loan_purpose,target,monthly_payment_approx,payment_to_income,credit_burden_index,has_overdue_history,is_high_interest
29,F,Санкт-Петербург,153387.04,employed,1,516074.19,66,14.99,303078.2,1.9759,5,5,173,consumer,0,11526.68,0.0751,3.1535,1,0
38,F,Сибирь,152069.1,self_employed,11,668964.37,12,19.54,287386.72,1.8898,10,0,20,consumer,0,61822.0,0.4065,3.4295,0,1
39,F,Поволжье,187695.45,employed,2,930434.3,67,12.72,299994.93,1.5983,1,10,262,consumer,0,19467.71,0.1037,3.3333,1,0
42,M,Москва,239698.12,employed,4,1719135.71,42,12.96,271261.79,1.1317,2,2,67,consumer,0,51131.47,0.2133,3.6419,1,0
24,M,Урал,247010.8,employed,3,1651204.67,72,14.24,281233.84,1.1385,21,0,67,consumer,0,34236.86,0.1386,3.4782,0,0
49,F,Сибирь,229516.8,employed,11,1940905.01,42,12.07,210548.22,0.9174,5,0,48,consumer,0,56887.01,0.2479,3.8771,0,0
26,M,Москва,224262.5,employed,0,1436484.9,38,11.26,421767.64,1.8807,10,2,15,consumer,1,45116.63,0.2012,4.1225,1,0
29,M,Юг России,256754.04,self_employed,5,1737860.35,83,9.86,302456.19,1.178,14,1,62,consumer,0,28965.75,0.1128,3.547,1,0
34,M,Центральный ФО,334450.54,employed,10,2124068.52,38,13.36,370285.4,1.1071,6,0,22,consumer,1,68857.78,0.2059,3.33,0,0
31,F,Сибирь,198664.76,employed,8,1722403.08,74,30.42,353782.38,1.7808,1,1,57,consumer,0,51784.97,0.2607,4.8152,1,1
35,M,Москва,143946.8,employed,4,627605.47,82,12.32,285208.59,1.9813,3,2,82,consumer,0,11359.22,0.0789,3.5073,1,0
29,M,Москва,171560.47,employed,9,1552989.4,61,16.06,281369.24,1.64,5,2,39,consumer,0,37410.37,0.2181,4.8083,1,0
33,F,Дальний Восток,251995.49,self_employed,0,1837630.19,36,12.28,287795.47,1.1421,13,1,46,auto,1,61281.66,0.2432,3.6944,1,0
