loan_id,origination_date,region,currency,loan_type,loan_reason,gender,citizenship,interest_rate_pct,credit_amount_kzt,age,days_past_due,npl_90plus
KZ2026000001,2019-06-22,Mangystau,KZT,Personal loan,Consumer credit,Female,Local,19.4,1393000,38,0,0
KZ2026000002,2019-07-12,Atyrau,KZT,Personal loan,Consumer credit,Male,Local,18.3,2035000,26,339,1
KZ2026000003,2019-02-04,North Kazakhstan,KZT,Personal loan,Consumer credit,Male,Local,22.3,2253000,58,0,0
KZ2026000004,2019-04-28,Kostanay,KZT,Personal loan,Consumer credit,Female,Local,35.7,204000,57,0,0
KZ2026000005,2019-12-13,Nur-Sultan,KZT,Personal loan,Consumer credit,Male,Local,27.1,891000,18,0,0
KZ2026000006,2019-05-19,Shymkent,KZT,Personal loan,Consumer credit,Male,Local,22.6,815000,39,0,0
KZ2026000007,2021-05-04,Kyzylorda,KZT,Personal loan,Consumer credit,Male,Local,30.4,1046000,45,0,0
KZ2026000008,2020-12-30,Mangystau,KZT,Credit card,Consumer credit,Female,Local,31.3,624000,42,125,1
KZ2026000009,2020-02-22,Almaty,KZT,Personal loan,Consumer credit,Female,Local,27.1,262000,54,0,0
KZ2026000010,2019-03-25,Atyrau,KZT,Credit card,Consumer credit,Male,Local,33.1,127000,51,0,0
KZ2026000011,2021-05-20,Almaty Region,KZT,Personal loan,Consumer credit,Female,Local,28.3,672000,40,0,0
KZ2026000012,2020-10-02,Turkistan,KZT,Personal loan,Consumer credit,Male,Local,18.6,1368000,62,0,0
KZ2026000013,2019-06-11,Karaganda,KZT,Personal loan,Consumer credit,Female,Local,12.1,2434000,47,0,0
KZ2026000014,2019-02-17,Pavlodar,KZT,Personal loan,Consumer credit,Male,Local,30.1,4802000,33,0,0
KZ2026000015,2020-07-01,Atyrau,KZT,Personal loan,Auto loan,Male,Local,25.2,3516000,31,0,0
KZ2026000016,2019-02-05,Almaty,KZT,Personal loan,Consumer credit,Male,Local,12.5,2431000,51,0,0
KZ2026000017,2020-06-26,Zhambyl,RUB,Personal loan,Consumer credit,Female,Local,23.7,3729000,28,0,0
KZ2026000018,2020-01-26,Nur-Sultan,KZT,Credit card,Consumer credit,Female,Local,27.8,344000,32,165,1
KZ2026000019,2021-02-16,Pavlodar,KZT,Personal loan,Consumer credit,Female,Local,30.8,854000,34,0,0
KZ2026000020,2019-12-04,Karaganda,KZT,Credit card,Consumer credit,Male,Local,33.7,157000,41,0,0
KZ2026000021,2020-01-31,Kyzylorda,KZT,Credit card,Consumer credit,Male,Local,56.0,150000,35,0,0
KZ2026000022,2020-04-26,Aktobe,KZT,Credit card,Auto loan,Male,Local,27.6,4676000,23,0,0
KZ2026000023,2021-05-18,Shymkent,KZT,Personal loan,Auto loan,Male,Local,25.3,3903000,50,0,0
KZ2026000024,2020-09-12,Turkistan,KZT,Credit card,Consumer credit,Male,Local,44.6,256000,33,0,0
KZ2026000025,2020-08-14,Mangystau,KZT,Credit card,Consumer credit,Female,Local,35.4,576000,59,0,0
KZ2026000026,2019-10-01,Almaty,KZT,Credit card,Consumer credit,Female,Local,31.7,301000,40,0,0
