age,gender,region,monthly_income,employment_status,work_experience,loan_amount,loan_term,interest_rate,current_debt,debt_to_income,number_of_loans,overdue_count,max_days_overdue,loan_purpose,target
36,M,Zhambyl,79343.46,retired,9,223254.35,31,23.32,26821.39,0.338,0,2,0,consumer,0
43,M,Turkistan,81941.59,student,21,759624.34,72,25.08,208413.38,2.5434,4,0,2,consumer,0
36,F,Aktobe,1206169.16,employed,12,4993505.94,28,44.21,3704833.73,3.0716,0,1,0,consumer,0
55,M,Almaty,218453.28,employed,30,2611631.1,64,16.14,1166345.14,5.3391,1,0,0,consumer,0
38,F,Shymkent,354217.98,employed,12,1917810.91,29,14.79,944532.94,2.6665,0,0,0,consumer,0
29,F,Kostanay,76763.22,self_employed,6,825463.61,55,16.36,291590.17,3.7985,3,0,2,consumer,0
35,M,East Kazakhstan,743562.55,unemployed,12,3616565.23,17,16.16,2487934.86,3.346,0,1,0,consumer,0
35,M,Turkistan,117496.87,self_employed,11,1112506.61,56,40.84,832350.94,7.084,1,0,0,consumer,0
26,F,Turkistan,2068506.7,employed,0,9481439.08,13,24.6,1144891.17,0.5535,0,1,1,consumer,0
56,F,Karaganda,234019.74,unemployed,32,2034691.21,63,28.19,1731862.84,7.4005,5,0,0,consumer,0
32,F,Karaganda,82754.81,student,7,478236.8,65,39.47,65615.5,0.7929,2,12,299,consumer,0
47,F,East Kazakhstan,217791.79,employed,23,1912547.78,69,30.92,1413596.23,6.4906,0,2,0,consumer,0
24,M,Almaty Region,125568.44,unemployed,0,1633899.84,59,18.22,975172.03,7.766,3,0,0,consumer,0
39,M,North Kazakhstan,165342.13,employed,9,3404116.26,69,19.14,2183585.11,13.2064,2,0,1,consumer,0
23,F,Zhambyl,100725.71,employed,0,828061.94,25,13.49,228203.8,2.2656,0,0,1,consumer,0
58,F,Atyrau,80434.98,student,36,411557.5,15,37.76,131340.58,1.6329,3,0,1,consumer,1
47,M,Almaty,125959.38,employed,22,493075.38,12,23.26,246233.39,1.9548,3,1,2,consumer,0
50,M,North Kazakhstan,515572.72,retired,23,2770271.82,31,38.19,2189048.54,4.2458,2,2,1,auto,0
28,M,Zhambyl,146367.43,employed,3,1074858.12,71,31.38,269865.88,1.8437,1,2,0,consumer,0
31,M,Kostanay,79861.48,employed,2,408988.21,62,22.83,244194.44,3.0577,1,0,1,consumer,0
20,F,Shymkent,191131.93,employed,2,1314334.04,22,17.99,1160195.84,6.0701,2,0,0,auto,0
40,F,Kostanay,104611.91,employed,13,1134372.81,60,32.22,880530.0,8.417,0,0,0,consumer,0
43,F,Almaty,83454.2,employed,14,873047.89,59,22.05,485611.68,5.8188,3,1,2,consumer,0
40,M,Atyrau,271637.38,employed,13,1564160.24,29,22.54,806380.81,2.9686,1,2,0,consumer,0
21,M,Almaty,120623.63,employed,2,1389270.7,36,16.94,703787.93,5.8345,3,1,0,consumer,1
28,M,Almaty,162784.75,self_employed,4,973890.28,49,50.38,565134.76,3.4716,3,0,1,consumer,0
37,M,Zhambyl,83022.98,student,9,435086.47,31,32.76,258659.82,3.1155,2,0,0,consumer,0
33,F,Akmola,79140.73,employed,8,662909.11,48,14.59,283914.58,3.5874,0,0,0,consumer,0
44,F,Zhambyl,527408.1,employed,14,4207112.45,42,12.17,3575485.04,6.7793,0,0,1,auto,0
42,F,Almaty,105543.92,retired,19,404276.65,16,39.31,161946.69,1.5344,2,0,0,consumer,0
39,M,Karaganda,195130.17,retired,17,1272667.41,45,35.06,134343.99,0.6885,3,0,1,consumer,0
40,F,Shymkent,97638.33,employed,13,574635.08,36,21.24,232638.33,2.3826,0,12,277,consumer,1
40,M,Karaganda,76304.12,retired,17,151185.97,38,33.72,117885.79,1.5449,2,1,0,consumer,0
31,F,Shymkent,171609.49,employed,8,1266359.03,30,8.79,369280.21,2.1519,3,1,2,consumer,0
20,F,Kyzylorda,227905.25,employed,0,1405050.14,32,33.61,776209.76,3.4058,2,0,0,consumer,0
53,F,Nur-Sultan,349789.36,retired,26,4256950.91,52,30.27,4058474.88,11.6026,3,1,1,auto,0
37,F,Karaganda,90213.66,employed,18,897196.39,44,46.82,739779.08,8.2002,0,2,2,consumer,0
49,M,Turkistan,98575.03,employed,22,1148684.7,29,20.4,222540.33,2.2576,0,0,0,consumer,0
36,M,Karaganda,1871735.1,employed,11,6330155.07,16,14.07,2669316.11,1.4261,1,2,2,consumer,0
50,M,Kyzylorda,84105.84,retired,26,52040.62,58,38.05,18542.57,0.2205,1,0,2,consumer,0
36,M,Turkistan,82299.51,employed,12,463116.41,53,23.63,268892.87,3.2672,2,12,312,consumer,0
80,M,Mangystau,370219.83,self_employed,44,2329584.14,30,15.37,1978475.42,5.344,3,0,1,consumer,0
52,F,Almaty,1443581.9,employed,25,4749261.89,20,42.08,3732605.75,2.5857,3,0,0,consumer,0
31,F,Nur-Sultan,515967.13,employed,6,5257580.39,61,15.58,4492332.92,8.7066,2,2,0,auto,0
32,F,Nur-Sultan,360316.07,unemployed,11,3439485.74,58,15.14,724585.31,2.011,2,0,0,consumer,0
22,M,East Kazakhstan,556598.26,employed,0,4571247.41,33,22.7,3815155.54,6.8544,2,0,0,auto,0
40,F,Karaganda,118066.85,employed,16,2602282.08,60,12.13,369369.97,3.1285,1,0,0,consumer,0
27,F,Almaty,228196.28,employed,5,1289786.47,45,29.57,164956.12,0.7229,3,2,0,consumer,0
41,F,Nur-Sultan,77980.67,employed,16,353217.0,42,38.14,90848.46,1.165,1,12,351,consumer,0
29,F,Karaganda,78721.87,student,2,195682.95,66,31.25,70831.53,0.8998,3,2,0,consumer,0
46,M,Karaganda,79288.33,retired,20,106959.22,22,36.63,67061.61,0.8458,0,1,0,consumer,0
39,F,Almaty Region,397122.79,employed,11,3058063.16,69,25.35,719066.38,1.8107,0,0,1,consumer,0
57,M,Nur-Sultan,79297.48,employed,33,617607.42,36,21.74,143340.02,1.8076,0,0,1,consumer,0
18,M,West Kazakhstan,416569.93,self_employed,0,3639221.04,55,35.67,1407655.56,3.3791,0,2,0,consumer,0
39,F,West Kazakhstan,127344.36,retired,10,813699.84,59,38.01,402608.31,3.1615,3,1,0,consumer,0
24,M,Almaty,75143.04,employed,4,247871.11,48,44.98,76323.15,1.0157,4,0,0,consumer,0
69,M,Kostanay,85507.16,student,41,138140.28,46,26.67,98635.47,1.1535,0,11,290,consumer,1
54,F,Atyrau,249768.7,retired,30,1867959.7,60,24.4,503076.21,2.0142,2,0,2,consumer,0
50,F,Almaty,268536.87,employed,28,878356.5,28,36.28,583193.9,2.1717,0,0,2,consumer,0
29,F,Almaty,81704.05,self_employed,5,552311.62,70,14.01,190130.85,2.327,3,7,247,consumer,0
45,M,Nur-Sultan,471138.64,employed,15,2829854.51,35,44.19,668628.94,1.4192,4,2,2,consumer,0
29,M,West Kazakhstan,351094.71,employed,3,2810993.31,58,20.61,1829705.47,5.2114,2,0,0,consumer,0
29,F,North Kazakhstan,139738.18,self_employed,0,1091987.48,62,35.73,822879.73,5.8887,0,1,0,consumer,0
52,M,West Kazakhstan,160488.29,retired,25,703420.1,30,29.68,240231.33,1.4969,0,2,0,consumer,0
36,M,Almaty Region,114802.41,employed,9,1238901.94,63,21.9,584185.34,5.0886,3,6,133,consumer,0
60,M,Almaty,433790.97,employed,38,1813692.43,16,29.58,391190.16,0.9018,3,0,1,consumer,0
53,M,Nur-Sultan,408401.2,employed,30,3772421.77,44,36.86,2028642.79,4.9673,1,1,0,consumer,0
54,F,Mangystau,141328.25,self_employed,32,1787391.25,69,18.17,863427.95,6.1093,1,0,1,consumer,0
69,M,Almaty,111596.26,employed,40,382761.76,15,33.67,246643.18,2.2101,2,2,0,consumer,0
40,F,Zhambyl,507998.86,employed,15,4450501.01,38,13.55,3499117.23,6.888,0,1,0,auto,0
65,M,Kostanay,79080.3,employed,37,683338.27,47,20.07,477812.24,6.042,4,0,0,consumer,0
29,F,East Kazakhstan,280738.38,employed,8,2147574.83,66,34.13,244735.25,0.8718,4,0,1,consumer,0
23,M,Zhambyl,75039.55,employed,0,246011.01,32,27.43,140325.68,1.87,3,0,0,consumer,0
39,F,East Kazakhstan,83352.48,unemployed,14,330678.58,42,31.38,133835.6,1.6056,0,1,0,consumer,0
35,M,Nur-Sultan,207631.23,employed,7,2050748.79,41,15.73,1904269.05,9.1714,0,0,1,auto,0
30,M,Aktobe,138768.12,employed,12,1032336.96,25,24.92,530165.23,3.8205,2,0,0,consumer,0
35,M,Kyzylorda,80613.72,retired,14,523124.51,48,32.45,350946.39,4.3534,3,2,1,consumer,0
26,M,Almaty,90007.77,employed,2,429893.17,15,29.55,278709.85,3.0965,3,0,0,consumer,0
37,F,North Kazakhstan,217322.74,employed,14,768065.3,13,23.75,114143.94,0.5252,3,9,214,consumer,0
24,M,Nur-Sultan,469243.65,employed,2,3835869.45,53,18.0,3463511.65,7.381,4,0,0,auto,0
48,M,Zhambyl,326999.94,employed,26,3102223.7,40,16.07,2872653.26,8.7848,2,1,0,auto,0
30,M,Karaganda,195757.84,employed,7,2510061.33,60,31.76,908909.16,4.643,0,0,0,consumer,0
49,F,Almaty,747994.16,employed,19,3928518.29,33,24.2,2758921.41,3.6884,1,1,1,consumer,0
39,M,Kyzylorda,75703.9,student,14,661462.33,41,24.86,563923.63,7.449,3,0,0,consumer,0
28,F,Almaty,225350.72,retired,1,1117023.2,18,14.4,172475.98,0.7654,0,0,0,consumer,0
34,M,Shymkent,1325715.42,employed,9,8983853.5,53,35.59,5769647.93,4.3521,0,0,0,consumer,0
34,F,North Kazakhstan,587241.33,student,10,4057817.21,39,43.25,3698679.81,6.2984,0,1,0,auto,0
34,M,Almaty,871945.05,employed,15,4272828.39,22,17.12,1358866.6,1.5584,0,0,2,consumer,0
36,M,West Kazakhstan,151453.69,employed,10,1767501.61,60,29.05,424223.65,2.801,1,0,0,consumer,0
