age,gender,region,monthly_income,employment_status,work_experience,loan_amount,loan_term,interest_rate,current_debt,debt_to_income,number_of_loans,overdue_count,max_days_overdue,loan_purpose,target
29,F,Санкт-Петербург,153387.04,employed,1,516074.19,66,14.99,303078.2,1.9759,5,5,173,consumer,0
38,F,Сибирь,152069.1,self_employed,11,668964.37,12,19.54,287386.72,1.8898,10,0,20,consumer,0
39,F,Поволжье,187695.45,employed,2,930434.3,67,12.72,299994.93,1.5983,1,10,262,consumer,0
42,M,Москва,239698.12,employed,4,1719135.71,42,12.96,271261.79,1.1317,2,2,67,consumer,0
24,M,Урал,247010.8,employed,3,1651204.67,72,14.24,281233.84,1.1385,21,0,67,consumer,0
49,F,Сибирь,229516.8,employed,11,1940905.01,42,12.07,210548.22,0.9174,5,0,48,consumer,0
26,M,Москва,224262.5,employed,0,1436484.9,38,11.26,421767.64,1.8807,10,2,15,consumer,1
29,M,Юг России,256754.04,self_employed,5,1737860.35,83,9.86,302456.19,1.178,14,1,62,consumer,0
34,M,Центральный ФО,334450.54,employed,10,2124068.52,38,13.36,370285.4,1.1071,6,0,22,consumer,1
31,F,Сибирь,198664.76,employed,8,1722403.08,74,30.42,353782.38,1.7808,1,1,57,consumer,0
35,M,Москва,143946.8,employed,4,627605.47,82,12.32,285208.59,1.9813,3,2,82,consumer,0
29,M,Москва,171560.47,employed,9,1552989.4,61,16.06,281369.24,1.64,5,2,39,consumer,0
33,F,Дальний Восток,251995.49,self_employed,0,1837630.19,36,12.28,287795.47,1.1421,13,1,46,auto,1
23,M,Юг России,292694.27,employed,4,2064354.61,35,9.94,276192.59,0.9436,17,0,62,consumer,1
27,M,Москва,168015.32,employed,0,614532.94,33,10.16,305434.64,1.8179,14,3,64,refinance,0
26,F,Поволжье,18243.86,employed,1,172377.46,64,28.81,164157.47,8.9975,5,0,54,consumer,1
37,F,Санкт-Петербург,245750.71,employed,0,1995629.55,64,14.81,275014.7,1.1191,6,5,93,consumer,0
27,M,Москва,233982.21,employed,4,1289615.52,34,11.19,426484.46,1.8227,13,0,15,consumer,1
45,M,Москва,242414.13,employed,12,1859521.55,71,12.48,288369.59,1.1896,8,3,59,consumer,0
39,M,Урал,296930.79,employed,4,695228.67,33,17.6,368733.13,1.2418,15,4,50,consumer,1
32,M,Юг России,120603.89,self_employed,6,535076.61,70,13.84,288022.38,2.3881,12,4,51,consumer,0
36,F,Дальний Восток,547226.59,employed,15,2372906.96,64,11.27,348518.79,0.6369,1,1,52,consumer,0
30,F,Дальний Восток,192801.28,employed,13,1462169.17,34,9.59,280791.87,1.4564,0,0,56,consumer,0
27,M,Центральный ФО,199460.75,employed,8,1332085.8,28,12.53,299486.94,1.5015,3,0,36,consumer,0
35,M,Москва,179480.72,employed,15,922189.73,57,25.1,301367.81,1.6791,7,5,75,consumer,0
42,M,Москва,491411.95,employed,12,2449909.7,22,17.23,356174.14,0.7248,7,2,16,consumer,0
46,M,Юг России,165122.26,employed,9,528231.21,81,11.99,272859.83,1.6525,5,4,61,consumer,0
46,M,Юг России,214630.66,employed,6,1327608.17,39,21.7,289317.66,1.348,11,1,65,consumer,0
34,M,Урал,180864.68,employed,6,915409.53,73,12.44,296918.57,1.6417,0,2,61,consumer,0
28,F,Санкт-Петербург,396271.95,employed,9,1452945.9,39,16.99,249438.2,0.6295,7,1,82,consumer,0
42,F,Санкт-Петербург,81867.12,employed,7,425664.8,71,10.16,255978.18,3.1267,7,3,69,consumer,0
38,M,Юг России,111506.18,self_employed,7,308289.2,78,13.71,291522.9,2.6144,18,2,45,auto,0
46,F,Санкт-Петербург,236444.32,employed,13,1422700.54,73,13.95,284130.33,1.2017,7,2,67,consumer,0
39,F,Санкт-Петербург,245208.56,employed,1,1948567.11,65,15.98,305648.76,1.2465,8,1,92,consumer,0
27,F,Санкт-Петербург,142128.07,employed,17,321100.22,41,11.09,308498.53,2.1706,9,3,42,consumer,0
37,M,Москва,257119.92,employed,5,1869086.49,84,12.42,278954.97,1.0849,3,4,79,consumer,0
38,M,Урал,295165.15,employed,0,2285224.93,26,18.09,270030.04,0.9148,15,1,65,business,0
32,F,Дальний Восток,266754.49,employed,9,1805944.39,45,12.9,270230.66,1.013,1,1,54,consumer,0
29,M,Юг России,296208.75,employed,5,2015329.88,59,19.63,293985.32,0.9925,12,1,64,consumer,1
51,F,Сибирь,201479.19,employed,9,1896682.48,42,12.62,212632.78,1.0554,3,3,44,consumer,0
25,M,Москва,201568.14,employed,5,1068793.4,43,27.01,304080.45,1.5086,13,0,52,consumer,0
41,F,Сибирь,223599.57,employed,3,1637709.45,84,27.45,289190.92,1.2933,7,4,80,consumer,0
45,F,Санкт-Петербург,132313.6,employed,9,442979.39,52,20.2,292964.48,2.2142,4,3,51,consumer,0
44,F,Санкт-Петербург,227535.31,employed,10,1564210.65,37,15.91,290511.26,1.2768,8,1,62,consumer,1
42,F,Санкт-Петербург,125044.12,employed,7,426236.76,37,15.96,295792.69,2.3655,3,4,109,consumer,0
28,M,Москва,161962.09,employed,13,642722.11,73,19.68,282138.77,1.742,2,4,47,consumer,0
46,F,Сибирь,229974.13,employed,6,1599133.93,76,12.5,278636.49,1.2116,0,8,270,consumer,0
29,F,Санкт-Петербург,271355.16,employed,9,2448907.12,40,13.54,285192.44,1.051,1,4,68,consumer,0
47,M,Урал,332063.42,employed,9,943363.83,35,18.03,300342.63,0.9045,7,1,45,consumer,0
30,M,Москва,189323.65,employed,10,965830.81,42,20.01,294081.71,1.5533,4,4,41,consumer,0
44,F,Санкт-Петербург,245071.49,employed,9,1609330.53,38,16.84,276276.15,1.1273,8,1,58,consumer,1
34,F,Санкт-Петербург,233904.45,unemployed,10,1152232.91,36,22.57,226925.48,0.9702,11,0,14,consumer,1
35,F,Санкт-Петербург,240643.62,unemployed,10,1039713.95,35,23.1,216330.93,0.899,8,3,11,consumer,1
27,M,Москва,188568.62,employed,5,1135741.86,42,28.64,300267.44,1.5923,15,4,53,consumer,0
41,F,Санкт-Петербург,246239.56,employed,9,1499987.83,35,17.7,288101.55,1.17,10,3,61,consumer,1
34,M,Урал,177357.46,employed,6,909114.51,46,17.46,281762.4,1.5887,15,4,42,consumer,0
24,M,Урал,238997.5,employed,4,1717618.49,76,14.28,267987.05,1.1213,22,3,67,consumer,0
40,M,Центральный ФО,194065.78,employed,7,1062396.14,36,15.52,289790.53,1.4933,3,11,282,consumer,0
41,M,Урал,256040.69,employed,5,1709381.81,28,17.47,271700.73,1.0612,4,1,50,business,0
32,F,Поволжье,252402.96,employed,7,502919.15,55,19.85,345969.96,1.3707,1,4,52,consumer,1
40,M,Урал,152772.26,employed,7,856573.71,26,17.22,290785.08,1.9034,6,2,60,business,0
37,M,Центральный ФО,259652.29,employed,16,1869862.45,35,12.62,288624.86,1.1116,3,0,41,consumer,1
44,F,Санкт-Петербург,251725.67,employed,8,1540190.67,34,17.35,280474.95,1.1142,8,4,58,consumer,1
44,M,Юг России,219365.91,employed,9,1307714.78,43,23.04,275735.8,1.257,13,0,64,consumer,0
29,M,Юг России,117209.17,employed,2,560210.44,67,13.26,298195.6,2.5441,3,1,61,consumer,0
39,M,Москва,289857.71,employed,16,2224038.15,72,12.16,333444.16,1.1504,8,0,49,consumer,0
