country,model,accuracy,precision,recall,f1,roc_auc
KZ,logistic_regression,0.618,0.1253,0.5874,0.2066,0.6479
KZ,decision_tree,0.6748,0.1753,0.7669,0.2854,0.7873
KZ,random_forest,0.9667,0.7794,0.8457,0.8112,0.9883
KZ,gradient_boosting,0.9203,0.9744,0.0598,0.1128,0.8469
RU,logistic_regression,0.7715,0.5134,0.823,0.6323,0.8563
RU,decision_tree,0.954,0.8476,0.9844,0.9109,0.9918
RU,random_forest,0.9992,0.9972,0.9994,0.9983,1.0
RU,gradient_boosting,0.9863,0.9959,0.9464,0.9705,0.9996
KZ,logistic_regression,0.6453,0.1141,0.4762,0.184,0.6043
KZ,decision_tree,0.5627,0.0846,0.4286,0.1414,0.4944
KZ,random_forest,0.8893,0.0833,0.0317,0.046,0.5907
KZ,gradient_boosting,0.9093,0.1429,0.0159,0.0286,0.5301
RU,logistic_regression,0.84,0.6429,0.75,0.6923,0.8443
RU,decision_tree,0.68,0.3889,0.5833,0.4667,0.7588
RU,random_forest,0.76,0.5,0.3333,0.4,0.7763
RU,gradient_boosting,0.78,0.5556,0.4167,0.4762,0.8136
